Date,transactions_in_blockchain,avg_block_size,sent_by_adress,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,fear_and_greed_index,rsi7 opening_price,rsi12 opening_price,rsi24 opening_price,rsi7 highest_price,rsi12 highest_price,rsi24 highest_price,rsi7 lowest_price,rsi12 lowest_price,rsi24 lowest_price,rsi7 closing_price,rsi12 closing_price,rsi24 closing_price,macd hist opening_price,macd signal opening_price,macd opening_price,macd hist highest_price,macd signal highest_price,macd highest_price,macd hist lowest_price,macd signal lowest_price,macd lowest_price,macd hist closing_price,macd signal closing_price,macd closing_price,target_price
2018-02-01,257504,958674,403277,1.226,10190875404,8.108,3.803,9.0,82912,1389.0,726833.0,18.196,9.672,16839687.5,19329173.7333,30.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,9181.1
2018-02-02,235750,941242,394122,0.952,10139478866,10.181,3.921,8.571,54128,1757.0,763496.0,18.273,11.562,16841225.0,20349765.9537948,15.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,8893.2
2018-02-03,194733,916645,297108,0.914,6421552427,6.859,3.709,9.114,42393,983.301,620918.0,18.314,6.929,16843762.5,18561807.1917,40.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,9241.1
2018-02-04,173509,889806,268466,0.981,5499166432,5.663,3.142,8.09,49344,968.684,595294.0,18.288,4.769,16845987.5,19061071.0683,24.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,8222.2
2018-02-05,216178,899185,334825,0.781,11558710245,6.193,2.559,7.784,65810,987.981,777110.0,18.367,6.995,16846750.0,19165215.2614707,11.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,6938.5
2018-02-06,243950,961110,397735,0.676,10063745538,4.614,2.191,8.471,53713,921.674,849088.0,18.421,7.18,16850425.0,17000620.9333,8.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,7701.2
2018-02-07,213578,945530,326879,0.727,7637070812,4.588,2.517,10.213,43026,931.117,694798.0,18.426,6.553,16852187.5,14762174.0625,36.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,7594.7
2018-02-08,173158,944714,264306,0.677,8069714475,4.195,2.377,10.992,55780,717.741,651284.0,18.292,5.103,16852262.5,14093910.2289136,30.0,27.080808033683155,48.72702292901813,49.51057033506364,30.979473118149272,43.20998563897337,48.00132193151903,46.69511635983308,54.00899277011172,53.2006373149219,45.218013104716526,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,8164.2
2018-02-09,177725,957285,305351,0.803,7623426850,4.127,2.405,10.667,53355,847.748,689413.0,18.521,4.979,16855512.5,14685356.425,44.0,40.00127679066344,48.72702292901813,49.51057033506364,38.84776777027207,43.20998563897337,48.00132193151903,49.961719315587736,54.00899277011172,53.2006373149219,55.056024848185785,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,8699.8
2018-02-10,181640,947466,287700,0.858,11338600258,4.248,2.288,10.07,73500,838.92,593126.0,18.502,4.736,16857300.0,15154655.1653,54.0,49.75259979787538,48.72702292901813,49.51057033506364,48.13971746971456,43.20998563897337,48.00132193151903,56.34552250271384,54.00899277011172,53.2006373149219,52.19355656459768,48.90133009492391,51.178377773289135,49.317585836932494,624.3267522426138,626.3152562332089,-16.07444065730101,612.2145652723191,625.1432740830041,-18.21277781135564,721.977888293761,742.1923056724518,-14.153991060783936,666.9954384612206,659.986909612735,8559.6
